TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Colgate,32,19,104.5,107.9,0.4084,51.5,53.2,16.4,19.4,29,29.4,49,51.8,36.3,36.7
Appalachian St.,31,15,102.5,106.3,0.3985,49.9,51.3,18.9,17.2,36.8,36.6,49.9,48.7,33.3,37.9
Idaho St.,28,14,104.2,108.1,0.394,55,52.5,18.5,16.7,34.5,31,52.4,53.1,39.4,34.3
FIU,29,14,98.6,102.4,0.3927,47.1,50.6,15.6,19.8,36.5,34.8,47.2,50.6,31.3,33.7
Lamar,29,19,101.1,105.1,0.3909,48.5,51.7,17.9,21.9,36.3,38.3,46.7,51.3,34.4,35
Kent St.,33,17,101.7,105.8,0.3863,48.7,51.1,18.7,18,32.5,33.4,48.8,51.2,32.4,33.9
George Mason,33,16,101.4,105.6,0.3854,49.1,52.1,18.2,16.1,31.8,30.8,49.1,51.5,32.6,35.3
Coastal Carolina,29,14,101,105.2,0.3849,49,49.6,22,18,38.8,40.2,48.4,47.4,33.3,34.9
Texas St.,31,15,99.7,104.2,0.3765,48.8,51.7,20.9,19.4,36.3,30,48.4,53.1,33.1,33
Louisiana Monroe,29,16,100.1,104.6,0.375,49.9,51.4,17.8,18.6,24.3,30.7,47,50.2,35.6,35.3
South Alabama,30,14,96.8,101.2,0.3748,48.4,47.3,20.9,18.4,37.7,38,48.3,47.9,32.3,30.9
Fairfield,33,17,101,105.6,0.3743,51.4,52.5,17.4,18.8,30.9,36.8,51.8,49,33.9,39.3
Columbia,26,8,107.9,113,0.3698,52.4,54.2,17.8,18.2,24.5,32,49.9,51.6,37.2,38.4
Tennessee St.,28,15,96.3,101,0.3673,49.3,52.7,21.9,23.3,37.8,35.4,48.1,51.3,33.9,36.1
Colorado St.,31,11,102,107,0.3659,47.5,53.7,18.8,17.4,33.8,35.9,46.4,53.7,33,35.8
Stony Brook,31,13,96.1,100.9,0.3652,47.9,50.5,20,20.8,32,41.8,47.5,49.1,32.2,35.3
Akron,31,14,102.4,107.5,0.3634,51.5,54.2,19.8,18.5,31.4,39.1,49.9,54.1,35.6,36.1
Sam Houston St.,32,21,101,106.1,0.3629,48.2,51.8,18.8,20.1,34,37.6,47,53.1,33.7,33.3
Saint Peter's,32,14,94.5,99.3,0.3625,49.2,48.4,19.6,21.3,27.3,42.3,48.1,47.8,33.7,32.9
