,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
284,UT Rio Grande Valley,31,15,Bad,Better,Bad,44.8,51.5,17.8,20.4,41.2,45.5,44.3,49.9,30.5,36.5,B10
285,Nebraska Omaha,29,9,Bad,Better,Bad,51.3,55.8,18.0,15.7,27.3,28.2,50.0,54.7,35.8,38.4,B10
286,Morehead St.,27,8,Bad,Better,Bad,48.2,55.2,22.1,19.9,36.7,40.9,48.5,56.0,31.8,36.0,B10
287,Cleveland St.,34,12,Bad,Better,Bad,50.6,53.0,18.9,19.5,29.4,31.1,50.4,52.5,34.0,35.9,B10
288,Fordham,31,9,Poor,Good,Bad,47.9,52.3,18.5,21.1,26.9,30.4,52.1,52.1,28.8,35.1,B12
289,New Orleans,30,16,Bad,Better,Bad,48.8,53.2,21.9,22.3,41.5,38.3,47.3,51.6,35.6,37.6,B12
290,UC Riverside,29,9,Poor,Bad,Bad,45.1,49.1,20.0,19.3,32.4,38.2,44.1,48.5,31.3,33.3,B12
291,McNeese St.,25,12,Bad,Better,Bad,48.8,49.8,19.0,15.2,32.7,31.5,47.3,48.4,34.6,35.0,B12
292,Tennessee Martin,29,10,Poor,Good,Bad,49.8,50.7,21.6,19.0,24.1,34.1,50.7,48.9,32.2,35.1,B12
293,San Jose St.,29,4,Bad,Good,Bad,48.6,53.2,23.6,14.9,34.2,30.8,46.2,53.3,36.2,35.4,B12
294,Sacramento St.,30,7,Bad,Better,Bad,49.0,52.7,17.9,17.5,27.8,33.4,47.7,50.9,34.6,37.2,B12
295,Samford,30,10,Good,Best,Bad,54.4,57.7,19.1,18.7,30.8,28.5,53.3,58.3,37.2,38.0,B12
296,Siena,32,8,Bad,Good,Bad,48.2,50.9,21.7,15.6,36.4,42.1,44.7,50.1,36.7,34.9,B12
297,Little Rock,30,7,Poor,Good,Bad,47.4,50.8,21.7,19.9,32.1,40.5,47.3,49.4,31.8,35.1,B12
298,Bethune Cookman,30,18,Bad,Better,Bad,49.5,48.6,20.3,17.6,41.2,38.2,51.0,47.6,31.2,33.6,B12
299,Binghamton,29,11,Bad,Better,Bad,49.7,51.6,18.3,17.0,30.0,32.4,48.1,48.2,34.8,38.7,B12
